datetime,equity
2026-03-24 09:40:00,100000.0
2026-03-25 15:05:00,101772.53
2026-03-26 15:05:00,99627.33
2026-03-27 07:20:00,99263.68
2026-03-28 04:15:00,99257.82
2026-03-28 23:15:00,99405.82
2026-03-31 07:10:00,99911.25
2026-04-01 12:35:00,100366.08
2026-04-01 22:10:00,100179.78
2026-04-05 15:35:00,102802.78
2026-04-05 20:35:00,100563.8
2026-04-05 22:40:00,98438.71
2026-04-06 09:10:00,96383.8
2026-04-06 17:15:00,96806.88
2026-04-07 19:55:00,96655.4
2026-04-08 14:30:00,97542.88
2026-04-09 08:40:00,99076.62
2026-04-09 14:50:00,99377.41
2026-04-09 17:05:00,97325.05
2026-04-10 12:20:00,95149.78
2026-04-11 23:05:00,96527.19
2026-04-12 09:00:00,94342.02
2026-04-13 04:40:00,93357.38
2026-04-16 10:00:00,93233.42
2026-04-16 13:15:00,93598.62
2026-04-16 18:45:00,94163.76
2026-04-18 06:30:00,93498.15
2026-04-18 16:15:00,91581.49
2026-04-20 05:10:00,89629.7
2026-04-21 01:05:00,87766.38
2026-04-21 12:40:00,88595.73
2026-04-21 23:35:00,89737.17
2026-04-22 23:20:00,90692.9
2026-04-23 00:30:00,90578.1
2026-04-23 20:10:00,89954.46
2026-04-24 11:25:00,92433.31
2026-04-25 10:35:00,94791.71
2026-04-25 22:25:00,94521.43
2026-04-26 14:20:00,92406.23
2026-04-28 08:30:00,92430.15
2026-04-29 00:40:00,92346.65
2026-04-29 09:30:00,90334.45
2026-05-01 03:20:00,93343.58
2026-05-02 21:30:00,91052.28
2026-05-04 10:10:00,94009.39
2026-05-05 20:00:00,93833.15
2026-05-06 02:30:00,93967.02
2026-05-07 00:35:00,93985.27
2026-05-08 02:05:00,92023.42
2026-05-08 16:35:00,92006.13
2026-05-09 09:45:00,91886.82
2026-05-10 11:00:00,91540.4
2026-05-11 11:00:00,90954.42
2026-05-12 06:35:00,90716.44
2026-05-12 19:50:00,91630.46
2026-05-13 11:15:00,93928.8
2026-05-14 03:05:00,91913.5
2026-05-15 00:30:00,89993.35
2026-05-16 04:30:00,88006.69
2026-05-17 09:20:00,87433.54
2026-05-19 00:25:00,87025.5
2026-05-19 23:20:00,86908.57
2026-05-21 17:20:00,87027.21
2026-05-23 18:15:00,87268.25
2026-05-24 06:50:00,85405.46
2026-05-24 21:25:00,83541.74
2026-05-24 22:15:00,83273.54
2026-05-25 09:30:00,81586.14
2026-05-25 20:45:00,81352.45
2026-05-26 10:05:00,79613.62
2026-05-26 17:25:00,78037.96
2026-05-26 22:10:00,76493.07
2026-05-27 03:45:00,74926.53
2026-05-28 13:20:00,73363.77
2026-05-29 02:25:00,74384.85
2026-05-29 04:15:00,74012.03
2026-05-30 03:40:00,74673.53
2026-05-31 07:10:00,75680.5
2026-05-31 12:15:00,75959.61
2026-05-31 21:45:00,76560.48
2026-05-31 23:25:00,76376.72
2026-06-02 01:35:00,74912.36
2026-06-02 05:00:00,73458.21
2026-06-02 12:15:00,72039.65
2026-06-03 03:30:00,70697.36
2026-06-04 21:05:00,70803.71
2026-06-05 13:50:00,69505.66
2026-06-06 08:30:00,69304.49
2026-06-07 03:15:00,67999.29
2026-06-07 15:05:00,68221.08
2026-06-08 22:15:00,68209.5
2026-06-09 13:15:00,68143.01
2026-06-10 00:35:00,66856.25
2026-06-10 18:50:00,66620.09
2026-06-11 13:45:00,67095.14
2026-06-12 04:15:00,65745.33
2026-06-14 09:40:00,65511.85
2026-06-15 10:50:00,64227.98
2026-06-15 22:20:00,65017.76
2026-06-16 18:00:00,65419.59
2026-06-17 01:15:00,64138.1
2026-06-19 13:50:00,65865.57
2026-06-19 22:40:00,64552.22
2026-06-20 14:45:00,64423.86
2026-06-21 08:20:00,64967.53
2026-06-22 11:05:00,63671.16
2026-06-22 16:15:00,63671.16
